site,full_site_name
YLSLP,宜蘭雙連埤
TFRI_DHS,大漢山
HCLLNP,自然谷
FH,鳳凰谷
YLFG01,宜大實驗林
Ali-BHS,碧湖山1 (碧湖山)
TFRI_LS,梨山
WDC,西部_萬大無尾葉
TJ,藤枝
Ali-XRJ,仙人崛
Ali-MF,明峰
NAC01,東部_寧安一號洞
Ld-LH,燈塔
CL,棲蘭
WD,西部_萬大水庫
HH,西部_合歡主峰
Ali-LT2,瀨頭慣行
YLFG,宜大實驗林
Ali-FMC,富摩咖啡
Ali-LC,里佳
TFRI_SL,雪嶺(SM mini)
DT02,大同(邊緣)
FC,奮起湖
OF,閣口
Ld-BS,白沙(火燒地)
FB,豐濱
Ali-LY,御統 (樂野)
TPGDNP02,關渡自然公園賞鳥小屋
TFRI_ALS,阿里山(SM mini)
NH05,南橫埡口林道
YF,西部_鳶峰
TFRI_SY02,思源02
SL,雙流
TFRI_DWS01,大武山01(SM mini)
TFRI_GW01,雪霸1(SM mini)
QKS,青鯤鯓
RY,西部_瑞岩溪
NMNS01,台中科博館
NH03,南橫天池
TFRI_TPS,太平山(SM mini)
FOUR,烏來四坎水
Ali-LYV,樂野村
LIS,西部_立鷹山
TFRI_FGS,鳳崗山(SM mini)
Ali-NMJ,牛磨角
FM,福山
BL,東部_碧綠神木
Ali-XJC,仙井咖啡
TFRI_MF,梅峰
MLTS,苗栗通霄
TCNMNS01,台中科博館
Ali-SM,山美
Ali-LT1,瀨頭野放 (瀨頭)
TFRI_FQ,奮起湖(SM mini)
KSYCG01,援中港濕地
KSGZ01,洲仔濕地
Ali-LJ,來吉
NTFHG,鳳凰谷
Ali-CST,碧湖山2 (碧湖軌道)
KSYCG,援中港濕地
MLTS01,苗栗通霄
Ali-ZMG,朕米糕
Ali-YST,玉山林道
Ali-SXR,三仙嶺
SG,西部_松崗
HCLLNP01,自然谷
Ali-LMT,里美步道
TEST,測試
Ali-SY,石園
Ali-ZZYC,鄒築園咖啡
DT01,大同(原始林)
LSD,西部_凌霄殿
KSGZ,洲仔濕地
Ali-YCL,弘泰 (油車寮)
NH01,南橫梅山口
Ali-XGK,新高口
Ali-XM,新美
DYA,東眼山人工林(森林浴步道)
ESRI,東部_特生高海拔
DY,東眼山(東滿步道)
TNSL01,台南沙崙
DT03,大同(草生)
TFRI_DWS02,大武山02(SM mini)
Ld-GST,過山步道
TPGDNP01,關渡
Ali-SL,生力
Ld-YZH,柚子湖
Ali-TFY,特富野
TCNMNS,台中科博館
TFRI_CE,慈恩
NH04,南橫檜谷
Ali-CYC,青葉咖啡
Ali-DBV,達邦村
GD,關渡
TPGDNP03,關渡ASN核心保育區
Ali-MH,迷糊步道
Ali-TPC,達邦咖啡
Ali-LM,龍美
TFRI_SY01,思源01
TNSL,台南沙崙
Ali-HTD,湖桶底
FHG01,鳳凰谷
Ali-YL,玉露
Ali-QF,青峯
TFRI_GW02,雪霸2(SM mini)
PDSL01,雙流
ILSLP,宜蘭雙連埤
YM,陽明山
LS,東部_綠水步道
Ali-JP,瑞峰簡家 (簡家)
SBY,東部_新白楊
NAC02,東部_寧安二號洞
Ali-FS,富順
BLM,東部_畢祿山
Ali-DM,達明
LWC,蓮華池
